,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,date
0,6:53:18 AM,2:29:56 PM,10:41:37 AM,07:36:38,6:12:38 AM,3:10:36 PM,5:27:00 AM,3:56:13 PM,4:44:07 AM,4:39:07 PM,2022-01-01
1,6:53:06 AM,2:31:04 PM,10:42:05 AM,07:37:58,6:12:31 AM,3:11:39 PM,5:26:57 AM,3:57:13 PM,4:44:06 AM,4:40:04 PM,2022-01-02
2,6:52:50 AM,2:32:15 PM,10:42:33 AM,07:39:25,6:12:21 AM,3:12:44 PM,5:26:51 AM,3:58:14 PM,4:44:03 AM,4:41:03 PM,2022-01-03
3,6:52:31 AM,2:33:29 PM,10:43:00 AM,07:40:58,6:12:08 AM,3:13:52 PM,5:26:42 AM,3:59:18 PM,4:43:56 AM,4:42:04 PM,2022-01-04
4,6:52:08 AM,2:34:46 PM,10:43:27 AM,07:42:38,6:11:51 AM,3:15:03 PM,5:26:30 AM,4:00:24 PM,4:43:47 AM,4:43:07 PM,2022-01-05
5,6:51:42 AM,2:36:05 PM,10:43:53 AM,07:44:23,6:11:31 AM,3:16:16 PM,5:26:15 AM,4:01:32 PM,4:43:35 AM,4:44:12 PM,2022-01-06
6,6:51:12 AM,2:37:27 PM,10:44:19 AM,07:46:15,6:11:08 AM,3:17:31 PM,5:25:57 AM,4:02:42 PM,4:43:20 AM,4:45:19 PM,2022-01-07
7,6:50:38 AM,2:38:51 PM,10:44:45 AM,07:48:13,6:10:42 AM,3:18:48 PM,5:25:36 AM,4:03:54 PM,4:43:02 AM,4:46:28 PM,2022-01-08
8,6:50:02 AM,2:40:18 PM,10:45:10 AM,07:50:16,6:10:12 AM,3:20:08 PM,5:25:12 AM,4:05:08 PM,4:42:41 AM,4:47:39 PM,2022-01-09
9,6:49:21 AM,2:41:48 PM,10:45:34 AM,07:52:27,6:09:39 AM,3:21:30 PM,5:24:45 AM,4:06:24 PM,4:42:18 AM,4:48:51 PM,2022-01-10
10,6:48:37 AM,2:43:19 PM,10:45:58 AM,07:54:42,6:09:03 AM,3:22:53 PM,5:24:15 AM,4:07:41 PM,4:41:51 AM,4:50:05 PM,2022-01-11
11,6:47:50 AM,2:44:53 PM,10:46:22 AM,07:57:03,6:08:25 AM,3:24:19 PM,5:23:43 AM,4:09:01 PM,4:41:22 AM,4:51:21 PM,2022-01-12
12,6:47:00 AM,2:46:29 PM,10:46:44 AM,07:59:29,6:07:43 AM,3:25:46 PM,5:23:07 AM,4:10:22 PM,4:40:50 AM,4:52:38 PM,2022-01-13
13,6:46:06 AM,2:48:06 PM,10:47:06 AM,08:02:00,6:06:57 AM,3:27:15 PM,5:22:28 AM,4:11:45 PM,4:40:15 AM,4:53:57 PM,2022-01-14
14,6:45:10 AM,2:49:46 PM,10:47:28 AM,08:04:36,6:06:09 AM,3:28:46 PM,5:21:47 AM,4:13:09 PM,4:39:38 AM,4:55:18 PM,2022-01-15
15,6:44:10 AM,2:51:27 PM,10:47:48 AM,08:07:17,6:05:18 AM,3:30:18 PM,5:21:02 AM,4:14:35 PM,4:38:57 AM,4:56:40 PM,2022-01-16
16,6:43:07 AM,2:53:10 PM,10:48:08 AM,08:10:03,6:04:24 AM,3:31:52 PM,5:20:15 AM,4:16:02 PM,4:38:14 AM,4:58:03 PM,2022-01-17
17,6:42:01 AM,2:54:55 PM,10:48:28 AM,08:12:54,6:03:28 AM,3:33:28 PM,5:19:25 AM,4:17:30 PM,4:37:28 AM,4:59:28 PM,2022-01-18
18,6:40:52 AM,2:56:41 PM,10:48:46 AM,08:15:49,6:02:28 AM,3:35:05 PM,5:18:33 AM,4:19:00 PM,4:36:39 AM,5:00:54 PM,2022-01-19
19,6:39:41 AM,2:58:28 PM,10:49:04 AM,08:18:47,6:01:26 AM,3:36:43 PM,5:17:37 AM,4:20:31 PM,4:35:47 AM,5:02:21 PM,2022-01-20
20,6:38:26 AM,3:00:17 PM,10:49:21 AM,08:21:51,6:00:20 AM,3:38:22 PM,5:16:39 AM,4:22:04 PM,4:34:53 AM,5:03:50 PM,2022-01-21
21,6:37:09 AM,3:02:06 PM,10:49:38 AM,08:24:57,5:59:13 AM,3:40:03 PM,5:15:38 AM,4:23:37 PM,4:33:56 AM,5:05:19 PM,2022-01-22
22,6:35:49 AM,3:03:57 PM,10:49:53 AM,08:28:08,5:58:02 AM,3:41:45 PM,5:14:35 AM,4:25:12 PM,4:32:57 AM,5:06:50 PM,2022-01-23
23,6:34:27 AM,3:05:50 PM,10:50:08 AM,08:31:23,5:56:49 AM,3:43:27 PM,5:13:29 AM,4:26:48 PM,4:31:54 AM,5:08:22 PM,2022-01-24
24,6:33:02 AM,3:07:43 PM,10:50:22 AM,08:34:41,5:55:33 AM,3:45:11 PM,5:12:20 AM,4:28:24 PM,4:30:50 AM,5:09:55 PM,2022-01-25
25,6:31:34 AM,3:09:37 PM,10:50:35 AM,08:38:03,5:54:15 AM,3:46:56 PM,5:11:09 AM,4:30:02 PM,4:29:42 AM,5:11:28 PM,2022-01-26
26,6:30:04 AM,3:11:31 PM,10:50:48 AM,08:41:27,5:52:54 AM,3:48:41 PM,5:09:55 AM,4:31:40 PM,4:28:32 AM,5:13:03 PM,2022-01-27
27,6:28:32 AM,3:13:27 PM,10:50:59 AM,08:44:55,5:51:31 AM,3:50:27 PM,5:08:39 AM,4:33:20 PM,4:27:20 AM,5:14:39 PM,2022-01-28
28,6:26:57 AM,3:15:23 PM,10:51:10 AM,08:48:26,5:50:06 AM,3:52:14 PM,5:07:20 AM,4:35:00 PM,4:26:05 AM,5:16:16 PM,2022-01-29
29,6:25:21 AM,3:17:20 PM,10:51:20 AM,08:51:59,5:48:38 AM,3:54:02 PM,5:05:59 AM,4:36:41 PM,4:24:47 AM,5:17:53 PM,2022-01-30
30,6:23:42 AM,3:19:17 PM,10:51:29 AM,08:55:35,5:47:08 AM,3:55:50 PM,5:04:36 AM,4:38:23 PM,4:23:27 AM,5:19:32 PM,2022-01-31
31,6:22:01 AM,3:21:15 PM,10:51:38 AM,08:59:14,5:45:36 AM,3:57:39 PM,5:03:10 AM,4:40:05 PM,4:22:05 AM,5:21:11 PM,2022-02-01
32,6:20:17 AM,3:23:13 PM,10:51:45 AM,09:02:56,5:44:02 AM,3:59:29 PM,5:01:42 AM,4:41:48 PM,4:20:40 AM,5:22:51 PM,2022-02-02
33,6:18:32 AM,3:25:11 PM,10:51:52 AM,09:06:39,5:42:25 AM,4:01:19 PM,5:00:12 AM,4:43:32 PM,4:19:12 AM,5:24:31 PM,2022-02-03
34,6:16:45 AM,3:27:10 PM,10:51:58 AM,09:10:25,5:40:47 AM,4:03:09 PM,4:58:40 AM,4:45:16 PM,4:17:43 AM,5:26:13 PM,2022-02-04
35,6:14:56 AM,3:29:09 PM,10:52:03 AM,09:14:13,5:39:06 AM,4:05:00 PM,4:57:05 AM,4:47:00 PM,4:16:11 AM,5:27:55 PM,2022-02-05
36,6:13:06 AM,3:31:09 PM,10:52:07 AM,09:18:03,5:37:23 AM,4:06:51 PM,4:55:29 AM,4:48:46 PM,4:14:37 AM,5:29:38 PM,2022-02-06
37,6:11:13 AM,3:33:08 PM,10:52:11 AM,09:21:55,5:35:39 AM,4:08:42 PM,4:53:50 AM,4:50:31 PM,4:13:00 AM,5:31:21 PM,2022-02-07
38,6:09:19 AM,3:35:08 PM,10:52:13 AM,09:25:49,5:33:53 AM,4:10:34 PM,4:52:09 AM,4:52:17 PM,4:11:22 AM,5:33:05 PM,2022-02-08
39,6:07:23 AM,3:37:07 PM,10:52:15 AM,09:29:44,5:32:04 AM,4:12:26 PM,4:50:26 AM,4:54:04 PM,4:09:41 AM,5:34:50 PM,2022-02-09
40,6:05:26 AM,3:39:07 PM,10:52:16 AM,09:33:41,5:30:14 AM,4:14:18 PM,4:48:42 AM,4:55:51 PM,4:07:58 AM,5:36:35 PM,2022-02-10
41,6:03:27 AM,3:41:07 PM,10:52:17 AM,09:37:40,5:28:23 AM,4:16:11 PM,4:46:55 AM,4:57:38 PM,4:06:12 AM,5:38:21 PM,2022-02-11
42,6:01:26 AM,3:43:07 PM,10:52:16 AM,09:41:41,5:26:29 AM,4:18:03 PM,4:45:06 AM,4:59:26 PM,4:04:25 AM,5:40:08 PM,2022-02-12
43,5:59:24 AM,3:45:06 PM,10:52:15 AM,09:45:42,5:24:34 AM,4:19:56 PM,4:43:16 AM,5:01:14 PM,4:02:36 AM,5:41:55 PM,2022-02-13
44,5:57:21 AM,3:47:06 PM,10:52:13 AM,09:49:45,5:22:38 AM,4:21:49 PM,4:41:24 AM,5:03:03 PM,4:00:44 AM,5:43:42 PM,2022-02-14
45,5:55:16 AM,3:49:05 PM,10:52:11 AM,09:53:49,5:20:40 AM,4:23:42 PM,4:39:30 AM,5:04:51 PM,3:58:51 AM,5:45:31 PM,2022-02-15
46,5:53:10 AM,3:51:04 PM,10:52:07 AM,09:57:54,5:18:40 AM,4:25:35 PM,4:37:34 AM,5:06:41 PM,3:56:55 AM,5:47:19 PM,2022-02-16
47,5:51:03 AM,3:53:04 PM,10:52:03 AM,10:02:01,5:16:39 AM,4:27:28 PM,4:35:36 AM,5:08:30 PM,3:54:58 AM,5:49:09 PM,2022-02-17
48,5:48:54 AM,3:55:03 PM,10:51:58 AM,10:06:09,5:14:36 AM,4:29:21 PM,4:33:37 AM,5:10:20 PM,3:52:58 AM,5:50:59 PM,2022-02-18
49,5:46:45 AM,3:57:01 PM,10:51:53 AM,10:10:16,5:12:32 AM,4:31:14 PM,4:31:36 AM,5:12:09 PM,3:50:57 AM,5:52:49 PM,2022-02-19
50,5:44:34 AM,3:59:00 PM,10:51:47 AM,10:14:26,5:10:27 AM,4:33:07 PM,4:29:34 AM,5:14:00 PM,3:48:54 AM,5:54:40 PM,2022-02-20
51,5:42:22 AM,4:00:58 PM,10:51:40 AM,10:18:36,5:08:20 AM,4:35:00 PM,4:27:30 AM,5:15:50 PM,3:46:48 AM,5:56:32 PM,2022-02-21
52,5:40:09 AM,4:02:56 PM,10:51:33 AM,10:22:47,5:06:12 AM,4:36:53 PM,4:25:24 AM,5:17:41 PM,3:44:41 AM,5:58:24 PM,2022-02-22
53,5:37:55 AM,4:04:54 PM,10:51:25 AM,10:26:59,5:04:03 AM,4:38:46 PM,4:23:17 AM,5:19:32 PM,3:42:33 AM,6:00:17 PM,2022-02-23
54,5:35:40 AM,4:06:52 PM,10:51:16 AM,10:31:12,5:01:53 AM,4:40:39 PM,4:21:09 AM,5:21:23 PM,3:40:22 AM,6:02:10 PM,2022-02-24
55,5:33:25 AM,4:08:49 PM,10:51:07 AM,10:35:24,4:59:41 AM,4:42:33 PM,4:18:59 AM,5:23:15 PM,3:38:10 AM,6:04:04 PM,2022-02-25
56,5:31:08 AM,4:10:46 PM,10:50:57 AM,10:39:38,4:57:28 AM,4:44:26 PM,4:16:47 AM,5:25:06 PM,3:35:55 AM,6:05:58 PM,2022-02-26
57,5:28:50 AM,4:12:43 PM,10:50:47 AM,10:43:53,4:55:15 AM,4:46:19 PM,4:14:35 AM,5:26:59 PM,3:33:40 AM,6:07:54 PM,2022-02-27
58,5:26:32 AM,4:14:39 PM,10:50:36 AM,10:48:07,4:53:00 AM,4:48:12 PM,4:12:21 AM,5:28:51 PM,3:31:22 AM,6:09:49 PM,2022-02-28
59,5:24:13 AM,4:16:36 PM,10:50:24 AM,10:52:23,4:50:44 AM,4:50:05 PM,4:10:05 AM,5:30:43 PM,3:29:03 AM,6:11:46 PM,2022-03-01
60,5:21:53 AM,4:18:31 PM,10:50:12 AM,10:56:38,4:48:27 AM,4:51:58 PM,4:07:48 AM,5:32:36 PM,3:26:42 AM,6:13:43 PM,2022-03-02
61,5:19:33 AM,4:20:27 PM,10:50:00 AM,11:00:54,4:46:09 AM,4:53:50 PM,4:05:30 AM,5:34:30 PM,3:24:19 AM,6:15:41 PM,2022-03-03
62,5:17:12 AM,4:22:22 PM,10:49:47 AM,11:05:10,4:43:51 AM,4:55:43 PM,4:03:11 AM,5:36:23 PM,3:21:55 AM,6:17:39 PM,2022-03-04
63,5:14:50 AM,4:24:18 PM,10:49:34 AM,11:09:28,4:41:31 AM,4:57:36 PM,4:00:51 AM,5:38:17 PM,3:19:29 AM,6:19:38 PM,2022-03-05
64,5:12:28 AM,4:26:12 PM,10:49:20 AM,11:13:44,4:39:11 AM,4:59:29 PM,3:58:29 AM,5:40:11 PM,3:17:02 AM,6:21:38 PM,2022-03-06
65,5:10:05 AM,4:28:07 PM,10:49:06 AM,11:18:02,4:36:50 AM,5:01:22 PM,3:56:06 AM,5:42:05 PM,3:14:33 AM,6:23:39 PM,2022-03-07
66,5:07:41 AM,4:30:01 PM,10:48:51 AM,11:22:20,4:34:28 AM,5:03:15 PM,3:53:42 AM,5:44:00 PM,3:12:02 AM,6:25:41 PM,2022-03-08
67,5:05:17 AM,4:31:55 PM,10:48:36 AM,11:26:38,4:32:05 AM,5:05:08 PM,3:51:17 AM,5:45:55 PM,3:09:30 AM,6:27:43 PM,2022-03-09
68,5:02:53 AM,4:33:49 PM,10:48:21 AM,11:30:56,4:29:42 AM,5:07:01 PM,3:48:51 AM,5:47:51 PM,3:06:56 AM,6:29:46 PM,2022-03-10
69,5:00:28 AM,4:35:43 PM,10:48:06 AM,11:35:15,4:27:17 AM,5:08:54 PM,3:46:24 AM,5:49:47 PM,3:04:21 AM,6:31:50 PM,2022-03-11
70,4:58:03 AM,4:37:36 PM,10:47:50 AM,11:39:33,4:24:53 AM,5:10:47 PM,3:43:56 AM,5:51:43 PM,3:01:44 AM,6:33:55 PM,2022-03-12
71,4:55:38 AM,4:39:29 PM,10:47:33 AM,11:43:51,4:22:27 AM,5:12:40 PM,3:41:27 AM,5:53:40 PM,2:59:06 AM,6:36:01 PM,2022-03-13
72,4:53:12 AM,4:41:22 PM,10:47:17 AM,11:48:10,4:20:01 AM,5:14:33 PM,3:38:57 AM,5:55:37 PM,2:56:26 AM,6:38:08 PM,2022-03-14
73,4:50:46 AM,4:43:15 PM,10:47:00 AM,11:52:29,4:17:34 AM,5:16:26 PM,3:36:26 AM,5:57:35 PM,2:53:45 AM,6:40:16 PM,2022-03-15
74,4:48:19 AM,4:45:07 PM,10:46:43 AM,11:56:48,4:15:07 AM,5:18:19 PM,3:33:54 AM,5:59:33 PM,2:51:02 AM,6:42:24 PM,2022-03-16
75,4:45:53 AM,4:47:00 PM,10:46:26 AM,12:01:07,4:12:40 AM,5:20:13 PM,3:31:21 AM,6:01:32 PM,2:48:18 AM,6:44:34 PM,2022-03-17
76,4:43:26 AM,4:48:52 PM,10:46:09 AM,12:05:26,4:10:12 AM,5:22:06 PM,3:28:47 AM,6:03:31 PM,2:45:32 AM,6:46:45 PM,2022-03-18
77,4:40:59 AM,4:50:44 PM,10:45:51 AM,12:09:45,4:07:43 AM,5:24:00 PM,3:26:12 AM,6:05:30 PM,2:42:45 AM,6:48:58 PM,2022-03-19
78,4:38:31 AM,4:52:36 PM,10:45:34 AM,12:14:05,4:05:14 AM,5:25:53 PM,3:23:37 AM,6:07:31 PM,2:39:56 AM,6:51:11 PM,2022-03-20
79,4:36:04 AM,4:54:27 PM,10:45:16 AM,12:18:23,4:02:45 AM,5:27:47 PM,3:21:00 AM,6:09:31 PM,2:37:06 AM,6:53:25 PM,2022-03-21
80,4:33:37 AM,4:56:19 PM,10:44:58 AM,12:22:42,4:00:15 AM,5:29:41 PM,3:18:23 AM,6:11:33 PM,2:34:15 AM,6:55:41 PM,2022-03-22
81,4:31:09 AM,4:58:11 PM,10:44:40 AM,12:27:02,3:57:45 AM,5:31:35 PM,3:15:45 AM,6:13:35 PM,2:31:22 AM,6:57:58 PM,2022-03-23
82,4:28:42 AM,5:00:02 PM,10:44:22 AM,12:31:20,3:55:14 AM,5:33:30 PM,3:13:07 AM,6:15:37 PM,2:28:27 AM,7:00:17 PM,2022-03-24
83,4:26:14 AM,5:01:53 PM,10:44:04 AM,12:35:39,3:52:43 AM,5:35:24 PM,3:10:27 AM,6:17:40 PM,2:25:31 AM,7:02:37 PM,2022-03-25
84,4:23:47 AM,5:03:44 PM,10:43:46 AM,12:39:57,3:50:12 AM,5:37:19 PM,3:07:47 AM,6:19:44 PM,2:22:34 AM,7:04:58 PM,2022-03-26
85,4:21:20 AM,5:05:36 PM,10:43:28 AM,12:44:16,3:47:41 AM,5:39:14 PM,3:05:06 AM,6:21:49 PM,2:19:35 AM,7:07:21 PM,2022-03-27
86,4:18:52 AM,5:07:27 PM,10:43:09 AM,12:48:35,3:45:10 AM,5:41:09 PM,3:02:25 AM,6:23:54 PM,2:16:34 AM,7:09:45 PM,2022-03-28
87,4:16:25 AM,5:09:18 PM,10:42:51 AM,12:52:53,3:42:38 AM,5:43:05 PM,2:59:43 AM,6:26:00 PM,2:13:32 AM,7:12:11 PM,2022-03-29
88,4:13:58 AM,5:11:09 PM,10:42:33 AM,12:57:11,3:40:06 AM,5:45:00 PM,2:57:00 AM,6:28:07 PM,2:10:29 AM,7:14:38 PM,2022-03-30
89,4:11:31 AM,5:13:00 PM,10:42:15 AM,13:01:29,3:37:35 AM,5:46:56 PM,2:54:17 AM,6:30:14 PM,2:07:23 AM,7:17:07 PM,2022-03-31
90,4:09:05 AM,5:14:51 PM,10:41:58 AM,13:05:46,3:35:03 AM,5:48:53 PM,2:51:33 AM,6:32:23 PM,2:04:17 AM,7:19:38 PM,2022-04-01
91,4:06:38 AM,5:16:41 PM,10:41:40 AM,13:10:03,3:32:31 AM,5:50:49 PM,2:48:48 AM,6:34:32 PM,2:01:08 AM,7:22:11 PM,2022-04-02
92,4:04:12 AM,5:18:32 PM,10:41:22 AM,13:14:20,3:29:59 AM,5:52:46 PM,2:46:03 AM,6:36:42 PM,1:57:58 AM,7:24:46 PM,2022-04-03
93,4:01:46 AM,5:20:23 PM,10:41:05 AM,13:18:37,3:27:27 AM,5:54:43 PM,2:43:17 AM,6:38:52 PM,1:54:47 AM,7:27:23 PM,2022-04-04
94,3:59:21 AM,5:22:14 PM,10:40:48 AM,13:22:53,3:24:55 AM,5:56:40 PM,2:40:31 AM,6:41:04 PM,1:51:34 AM,7:30:02 PM,2022-04-05
95,3:56:56 AM,5:24:05 PM,10:40:30 AM,13:27:09,3:22:23 AM,5:58:38 PM,2:37:44 AM,6:43:17 PM,1:48:18 AM,7:32:42 PM,2022-04-06
96,3:54:31 AM,5:25:56 PM,10:40:14 AM,13:31:25,3:19:51 AM,6:00:36 PM,2:34:57 AM,6:45:30 PM,1:45:02 AM,7:35:25 PM,2022-04-07
97,3:52:07 AM,5:27:47 PM,10:39:57 AM,13:35:40,3:17:19 AM,6:02:35 PM,2:32:09 AM,6:47:44 PM,1:41:43 AM,7:38:11 PM,2022-04-08
98,3:49:43 AM,5:29:38 PM,10:39:40 AM,13:39:55,3:14:47 AM,6:04:33 PM,2:29:21 AM,6:50:00 PM,1:38:22 AM,7:40:58 PM,2022-04-09
99,3:47:20 AM,5:31:29 PM,10:39:24 AM,13:44:09,3:12:16 AM,6:06:33 PM,2:26:32 AM,6:52:16 PM,1:35:00 AM,7:43:49 PM,2022-04-10
100,3:44:57 AM,5:33:20 PM,10:39:08 AM,13:48:23,3:09:45 AM,6:08:32 PM,2:23:43 AM,6:54:33 PM,1:31:35 AM,7:46:41 PM,2022-04-11
101,3:42:35 AM,5:35:11 PM,10:38:53 AM,13:52:36,3:07:14 AM,6:10:32 PM,2:20:54 AM,6:56:52 PM,1:28:09 AM,7:49:37 PM,2022-04-12
102,3:40:13 AM,5:37:02 PM,10:38:37 AM,13:56:49,3:04:43 AM,6:12:32 PM,2:18:04 AM,6:59:11 PM,1:24:40 AM,7:52:35 PM,2022-04-13
103,3:37:52 AM,5:38:53 PM,10:38:22 AM,14:01:01,3:02:13 AM,6:14:32 PM,2:15:14 AM,7:01:31 PM,1:21:09 AM,7:55:36 PM,2022-04-14
104,3:35:32 AM,5:40:44 PM,10:38:08 AM,14:05:12,2:59:43 AM,6:16:33 PM,2:12:23 AM,7:03:52 PM,1:17:35 AM,7:58:40 PM,2022-04-15
105,3:33:12 AM,5:42:35 PM,10:37:54 AM,14:09:23,2:57:13 AM,6:18:34 PM,2:09:32 AM,7:06:15 PM,1:13:59 AM,8:01:48 PM,2022-04-16
106,3:30:53 AM,5:44:26 PM,10:37:40 AM,14:13:33,2:54:44 AM,6:20:36 PM,2:06:41 AM,7:08:38 PM,1:10:21 AM,8:04:58 PM,2022-04-17
107,3:28:35 AM,5:46:17 PM,10:37:26 AM,14:17:42,2:52:15 AM,6:22:37 PM,2:03:50 AM,7:11:03 PM,1:06:40 AM,8:08:13 PM,2022-04-18
108,3:26:17 AM,5:48:09 PM,10:37:13 AM,14:21:52,2:49:47 AM,6:24:39 PM,2:00:58 AM,7:13:28 PM,1:02:55 AM,8:11:31 PM,2022-04-19
109,3:24:01 AM,5:50:00 PM,10:37:00 AM,14:25:59,2:47:19 AM,6:26:42 PM,1:58:06 AM,7:15:55 PM,12:59:08 AM,8:14:53 PM,2022-04-20
110,3:21:45 AM,5:51:51 PM,10:36:48 AM,14:30:06,2:44:52 AM,6:28:45 PM,1:55:13 AM,7:18:23 PM,12:55:17 AM,8:18:19 PM,2022-04-21
111,3:19:31 AM,5:53:42 PM,10:36:36 AM,14:34:11,2:42:25 AM,6:30:47 PM,1:52:21 AM,7:20:52 PM,12:51:23 AM,8:21:49 PM,2022-04-22
112,3:17:17 AM,5:55:33 PM,10:36:25 AM,14:38:16,2:39:59 AM,6:32:51 PM,1:49:28 AM,7:23:22 PM,12:47:25 AM,8:25:24 PM,2022-04-23
113,3:15:04 AM,5:57:23 PM,10:36:14 AM,14:42:19,2:37:34 AM,6:34:54 PM,1:46:35 AM,7:25:53 PM,12:43:23 AM,8:29:05 PM,2022-04-24
114,3:12:53 AM,5:59:14 PM,10:36:03 AM,14:46:21,2:35:09 AM,6:36:58 PM,1:43:42 AM,7:28:25 PM,12:39:16 AM,8:32:51 PM,2022-04-25
115,3:10:42 AM,6:01:05 PM,10:35:53 AM,14:50:23,2:32:45 AM,6:39:02 PM,1:40:48 AM,7:30:59 PM,12:35:05 AM,8:36:42 PM,2022-04-26
116,3:08:33 AM,6:02:55 PM,10:35:44 AM,14:54:22,2:30:22 AM,6:41:06 PM,1:37:55 AM,7:33:33 PM,12:30:48 AM,8:40:40 PM,2022-04-27
117,3:06:25 AM,6:04:45 PM,10:35:35 AM,14:58:20,2:28:00 AM,6:43:10 PM,1:35:01 AM,7:36:09 PM,12:26:25 AM,8:44:45 PM,2022-04-28
118,3:04:18 AM,6:06:36 PM,10:35:27 AM,15:02:18,2:25:39 AM,6:45:14 PM,1:32:08 AM,7:38:45 PM,12:21:55 AM,8:48:58 PM,2022-04-29
119,3:02:12 AM,6:08:25 PM,10:35:19 AM,15:06:13,2:23:19 AM,6:47:18 PM,1:29:14 AM,7:41:23 PM,12:17:18 AM,8:53:19 PM,2022-04-30
120,3:00:08 AM,6:10:15 PM,10:35:11 AM,15:10:07,2:21:00 AM,6:49:23 PM,1:26:20 AM,7:44:02 PM,12:12:33 AM,8:57:50 PM,2022-05-01
