,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,date
121,2:58:05 AM,6:12:04 PM,10:35:04 AM,15:13:59,2:18:41 AM,6:51:27 PM,1:23:26 AM,7:46:42 PM,12:07:37 AM,9:02:31 PM,2022-05-02
122,2:56:03 AM,6:13:53 PM,10:34:58 AM,15:17:50,2:16:24 AM,6:53:32 PM,1:20:33 AM,7:49:23 PM,12:02:31 AM,9:07:25 PM,2022-05-03
123,2:54:03 AM,6:15:42 PM,10:34:52 AM,15:21:39,2:14:08 AM,6:55:36 PM,1:17:39 AM,7:52:06 PM,11:57:11 PM,9:12:34 PM,2022-05-04
124,2:52:04 AM,6:17:30 PM,10:34:47 AM,15:25:26,2:11:54 AM,6:57:40 PM,1:14:45 AM,7:54:49 PM,11:51:34 PM,9:18:00 PM,2022-05-05
125,2:50:07 AM,6:19:18 PM,10:34:42 AM,15:29:11,2:09:41 AM,6:59:44 PM,1:11:52 AM,7:57:33 PM,11:45:38 PM,9:23:47 PM,2022-05-06
126,2:48:12 AM,6:21:05 PM,10:34:38 AM,15:32:53,2:07:29 AM,7:01:48 PM,1:08:58 AM,8:00:18 PM,11:39:17 PM,9:30:00 PM,2022-05-07
127,2:46:18 AM,6:22:52 PM,10:34:35 AM,15:36:34,2:05:18 AM,7:03:52 PM,1:06:05 AM,8:03:05 PM,11:32:21 PM,9:36:48 PM,2022-05-08
128,2:44:26 AM,6:24:38 PM,10:34:32 AM,15:40:12,2:03:09 AM,7:05:55 PM,1:03:12 AM,8:05:52 PM,11:24:39 PM,9:44:25 PM,2022-05-09
129,2:42:36 AM,6:26:23 PM,10:34:29 AM,15:43:47,2:01:01 AM,7:07:58 PM,1:00:19 AM,8:08:40 PM,11:15:42 PM,9:53:17 PM,2022-05-10
130,2:40:47 AM,6:28:08 PM,10:34:28 AM,15:47:21,1:58:55 AM,7:10:00 PM,12:57:26 AM,8:11:29 PM,11:04:26 PM,10:04:29 PM,2022-05-11
131,2:39:01 AM,6:29:52 PM,10:34:26 AM,15:50:51,1:56:51 AM,7:12:02 PM,12:54:34 AM,8:14:19 PM,10:45:05 PM,10:23:48 PM,2022-05-12
132,2:37:16 AM,6:31:35 PM,10:34:26 AM,15:54:19,1:54:49 AM,7:14:03 PM,12:51:42 AM,8:17:10 PM,12:00:01 AM,12:00:01 AM,2022-05-13
133,2:35:34 AM,6:33:18 PM,10:34:26 AM,15:57:44,1:52:48 AM,7:16:03 PM,12:48:50 AM,8:20:01 PM,12:00:01 AM,12:00:01 AM,2022-05-14
134,2:33:53 AM,6:34:59 PM,10:34:26 AM,16:01:06,1:50:49 AM,7:18:03 PM,12:45:59 AM,8:22:53 PM,12:00:01 AM,12:00:01 AM,2022-05-15
135,2:32:15 AM,6:36:39 PM,10:34:27 AM,16:04:24,1:48:52 AM,7:20:02 PM,12:43:09 AM,8:25:46 PM,12:00:01 AM,12:00:01 AM,2022-05-16
136,2:30:39 AM,6:38:19 PM,10:34:29 AM,16:07:40,1:46:58 AM,7:22:00 PM,12:40:19 AM,8:28:39 PM,12:00:01 AM,12:00:01 AM,2022-05-17
137,2:29:05 AM,6:39:57 PM,10:34:31 AM,16:10:52,1:45:05 AM,7:23:57 PM,12:37:29 AM,8:31:32 PM,12:00:01 AM,12:00:01 AM,2022-05-18
138,2:27:33 AM,6:41:34 PM,10:34:34 AM,16:14:01,1:43:15 AM,7:25:53 PM,12:34:41 AM,8:34:27 PM,12:00:01 AM,12:00:01 AM,2022-05-19
139,2:26:04 AM,6:43:10 PM,10:34:37 AM,16:17:06,1:41:27 AM,7:27:47 PM,12:31:53 AM,8:37:21 PM,12:00:01 AM,12:00:01 AM,2022-05-20
140,2:24:37 AM,6:44:44 PM,10:34:41 AM,16:20:07,1:39:41 AM,7:29:41 PM,12:29:06 AM,8:40:16 PM,12:00:01 AM,12:00:01 AM,2022-05-21
141,2:23:13 AM,6:46:17 PM,10:34:45 AM,16:23:04,1:37:58 AM,7:31:32 PM,12:26:20 AM,8:43:10 PM,12:00:01 AM,12:00:01 AM,2022-05-22
142,2:21:51 AM,6:47:49 PM,10:34:50 AM,16:25:58,1:36:17 AM,7:33:23 PM,12:23:35 AM,8:46:05 PM,12:00:01 AM,12:00:01 AM,2022-05-23
143,2:20:32 AM,6:49:19 PM,10:34:55 AM,16:28:47,1:34:39 AM,7:35:11 PM,12:20:51 AM,8:49:00 PM,12:00:01 AM,12:00:01 AM,2022-05-24
144,2:19:15 AM,6:50:47 PM,10:35:01 AM,16:31:32,1:33:04 AM,7:36:58 PM,12:18:08 AM,8:51:54 PM,12:00:01 AM,12:00:01 AM,2022-05-25
145,2:18:02 AM,6:52:13 PM,10:35:07 AM,16:34:11,1:31:32 AM,7:38:43 PM,12:15:27 AM,8:54:48 PM,12:00:01 AM,12:00:01 AM,2022-05-26
146,2:16:51 AM,6:53:38 PM,10:35:14 AM,16:36:47,1:30:03 AM,7:40:26 PM,12:12:48 AM,8:57:41 PM,12:00:01 AM,12:00:01 AM,2022-05-27
147,2:15:42 AM,6:55:01 PM,10:35:22 AM,16:39:19,1:28:36 AM,7:42:07 PM,12:10:10 AM,9:00:33 PM,12:00:01 AM,12:00:01 AM,2022-05-28
148,2:14:37 AM,6:56:22 PM,10:35:29 AM,16:41:45,1:27:13 AM,7:43:46 PM,12:07:34 AM,9:03:25 PM,12:00:01 AM,12:00:01 AM,2022-05-29
149,2:13:35 AM,6:57:40 PM,10:35:38 AM,16:44:05,1:25:53 AM,7:45:22 PM,12:05:00 AM,9:06:15 PM,12:00:01 AM,12:00:01 AM,2022-05-30
150,2:12:35 AM,6:58:57 PM,10:35:46 AM,16:46:22,1:24:37 AM,7:46:56 PM,12:02:29 AM,9:09:04 PM,12:00:01 AM,12:00:01 AM,2022-05-31
151,2:11:39 AM,7:00:11 PM,10:35:55 AM,16:48:32,1:23:24 AM,7:48:27 PM,12:00:00 AM,9:11:51 PM,12:00:01 AM,12:00:01 AM,2022-06-01
152,2:10:46 AM,7:01:23 PM,10:36:05 AM,16:50:37,1:22:14 AM,7:49:55 PM,11:57:34 PM,9:14:36 PM,12:00:01 AM,12:00:01 AM,2022-06-02
153,2:09:56 AM,7:02:33 PM,10:36:14 AM,16:52:37,1:21:08 AM,7:51:20 PM,11:55:11 PM,9:17:18 PM,12:00:01 AM,12:00:01 AM,2022-06-03
154,2:09:09 AM,7:03:40 PM,10:36:25 AM,16:54:31,1:20:06 AM,7:52:43 PM,11:52:52 PM,9:19:58 PM,12:00:01 AM,12:00:01 AM,2022-06-04
155,2:08:26 AM,7:04:45 PM,10:36:35 AM,16:56:19,1:19:08 AM,7:54:02 PM,11:50:36 PM,9:22:34 PM,12:00:01 AM,12:00:01 AM,2022-06-05
156,2:07:45 AM,7:05:46 PM,10:36:46 AM,16:58:01,1:18:13 AM,7:55:18 PM,11:48:25 PM,9:25:07 PM,12:00:01 AM,12:00:01 AM,2022-06-06
157,2:07:08 AM,7:06:46 PM,10:36:57 AM,16:59:38,1:17:23 AM,7:56:31 PM,11:46:18 PM,9:27:36 PM,12:00:01 AM,12:00:01 AM,2022-06-07
158,2:06:35 AM,7:07:42 PM,10:37:08 AM,17:01:07,1:16:37 AM,7:57:40 PM,11:44:17 PM,9:30:00 PM,12:00:01 AM,12:00:01 AM,2022-06-08
159,2:06:05 AM,7:08:36 PM,10:37:20 AM,17:02:31,1:15:54 AM,7:58:46 PM,11:42:22 PM,9:32:18 PM,12:00:01 AM,12:00:01 AM,2022-06-09
160,2:05:38 AM,7:09:26 PM,10:37:32 AM,17:03:48,1:15:16 AM,7:59:48 PM,11:40:33 PM,9:34:31 PM,12:00:01 AM,12:00:01 AM,2022-06-10
161,2:05:15 AM,7:10:14 PM,10:37:44 AM,17:04:59,1:14:43 AM,8:00:46 PM,11:38:51 PM,9:36:37 PM,12:00:01 AM,12:00:01 AM,2022-06-11
162,2:04:55 AM,7:10:58 PM,10:37:56 AM,17:06:03,1:14:13 AM,8:01:40 PM,11:37:17 PM,9:38:36 PM,12:00:01 AM,12:00:01 AM,2022-06-12
163,2:04:38 AM,7:11:40 PM,10:38:09 AM,17:07:02,1:13:48 AM,8:02:30 PM,11:35:52 PM,9:40:26 PM,12:00:01 AM,12:00:01 AM,2022-06-13
164,2:04:25 AM,7:12:18 PM,10:38:22 AM,17:07:53,1:13:28 AM,8:03:16 PM,11:34:36 PM,9:42:08 PM,12:00:01 AM,12:00:01 AM,2022-06-14
165,2:04:16 AM,7:12:53 PM,10:38:34 AM,17:08:37,1:13:11 AM,8:03:57 PM,11:33:30 PM,9:43:39 PM,12:00:01 AM,12:00:01 AM,2022-06-15
166,2:04:10 AM,7:13:24 PM,10:38:47 AM,17:09:14,1:13:00 AM,8:04:35 PM,11:32:34 PM,9:45:00 PM,12:00:01 AM,12:00:01 AM,2022-06-16
167,2:04:08 AM,7:13:53 PM,10:39:00 AM,17:09:45,1:12:53 AM,8:05:08 PM,11:31:50 PM,9:46:10 PM,12:00:01 AM,12:00:01 AM,2022-06-17
168,2:04:09 AM,7:14:18 PM,10:39:13 AM,17:10:09,1:12:50 AM,8:05:36 PM,11:31:19 PM,9:47:08 PM,12:00:01 AM,12:00:01 AM,2022-06-18
169,2:04:14 AM,7:14:39 PM,10:39:26 AM,17:10:25,1:12:52 AM,8:06:01 PM,11:31:00 PM,9:47:53 PM,12:00:01 AM,12:00:01 AM,2022-06-19
170,2:04:22 AM,7:14:57 PM,10:39:39 AM,17:10:35,1:12:59 AM,8:06:20 PM,11:30:54 PM,9:48:25 PM,12:00:01 AM,12:00:01 AM,2022-06-20
171,2:04:33 AM,7:15:12 PM,10:39:53 AM,17:10:39,1:13:10 AM,8:06:35 PM,11:31:01 PM,9:48:44 PM,12:00:01 AM,12:00:01 AM,2022-06-21
172,2:04:48 AM,7:15:23 PM,10:40:06 AM,17:10:35,1:13:26 AM,8:06:46 PM,11:31:22 PM,9:48:50 PM,12:00:01 AM,12:00:01 AM,2022-06-22
173,2:05:07 AM,7:15:30 PM,10:40:19 AM,17:10:23,1:13:46 AM,8:06:52 PM,11:31:55 PM,9:48:42 PM,12:00:01 AM,12:00:01 AM,2022-06-23
174,2:05:28 AM,7:15:34 PM,10:40:31 AM,17:10:06,1:14:10 AM,8:06:53 PM,11:32:42 PM,9:48:21 PM,12:00:01 AM,12:00:01 AM,2022-06-24
175,2:05:54 AM,7:15:35 PM,10:40:44 AM,17:09:41,1:14:39 AM,8:06:49 PM,11:33:41 PM,9:47:47 PM,12:00:01 AM,12:00:01 AM,2022-06-25
176,2:06:22 AM,7:15:32 PM,10:40:57 AM,17:09:10,1:15:12 AM,8:06:42 PM,11:34:52 PM,9:47:02 PM,12:00:01 AM,12:00:01 AM,2022-06-26
177,2:06:54 AM,7:15:25 PM,10:41:09 AM,17:08:31,1:15:50 AM,8:06:29 PM,11:36:14 PM,9:46:05 PM,12:00:01 AM,12:00:01 AM,2022-06-27
178,2:07:29 AM,7:15:15 PM,10:41:22 AM,17:07:46,1:16:32 AM,8:06:12 PM,11:37:46 PM,9:44:57 PM,12:00:01 AM,12:00:01 AM,2022-06-28
179,2:08:07 AM,7:15:01 PM,10:41:34 AM,17:06:54,1:17:17 AM,8:05:50 PM,11:39:28 PM,9:43:40 PM,12:00:01 AM,12:00:01 AM,2022-06-29
180,2:08:48 AM,7:14:44 PM,10:41:46 AM,17:05:56,1:18:07 AM,8:05:24 PM,11:41:19 PM,9:42:13 PM,12:00:01 AM,12:00:01 AM,2022-06-30
181,2:09:32 AM,7:14:23 PM,10:41:58 AM,17:04:51,1:19:01 AM,8:04:54 PM,11:43:18 PM,9:40:37 PM,12:00:01 AM,12:00:01 AM,2022-07-01
182,2:10:19 AM,7:13:59 PM,10:42:09 AM,17:03:40,1:19:59 AM,8:04:19 PM,11:45:23 PM,9:38:54 PM,12:00:01 AM,12:00:01 AM,2022-07-02
183,2:11:09 AM,7:13:31 PM,10:42:20 AM,17:02:22,1:21:00 AM,8:03:40 PM,11:47:36 PM,9:37:04 PM,12:00:01 AM,12:00:01 AM,2022-07-03
184,2:12:02 AM,7:13:00 PM,10:42:31 AM,17:00:58,1:22:05 AM,8:02:57 PM,11:49:54 PM,9:35:08 PM,12:00:01 AM,12:00:01 AM,2022-07-04
185,2:12:58 AM,7:12:25 PM,10:42:41 AM,16:59:27,1:23:14 AM,8:02:09 PM,11:52:17 PM,9:33:06 PM,12:00:01 AM,12:00:01 AM,2022-07-05
186,2:13:56 AM,7:11:47 PM,10:42:52 AM,16:57:51,1:24:26 AM,8:01:18 PM,11:54:45 PM,9:30:59 PM,12:00:01 AM,12:00:01 AM,2022-07-06
187,2:14:57 AM,7:11:05 PM,10:43:01 AM,16:56:08,1:25:41 AM,8:00:22 PM,11:57:16 PM,9:28:47 PM,12:00:01 AM,12:00:01 AM,2022-07-07
188,2:16:01 AM,7:10:21 PM,10:43:11 AM,16:54:20,1:26:59 AM,7:59:23 PM,11:59:51 PM,9:26:30 PM,12:00:01 AM,12:00:01 AM,2022-07-08
189,2:17:07 AM,7:09:33 PM,10:43:20 AM,16:52:26,1:28:20 AM,7:58:19 PM,12:02:30 AM,9:24:10 PM,12:00:01 AM,12:00:01 AM,2022-07-09
190,2:18:15 AM,7:08:42 PM,10:43:28 AM,16:50:27,1:29:45 AM,7:57:12 PM,12:05:10 AM,9:21:46 PM,12:00:01 AM,12:00:01 AM,2022-07-10
191,2:19:26 AM,7:07:47 PM,10:43:37 AM,16:48:21,1:31:12 AM,7:56:02 PM,12:07:54 AM,9:19:20 PM,12:00:01 AM,12:00:01 AM,2022-07-11
192,2:20:39 AM,7:06:50 PM,10:43:44 AM,16:46:11,1:32:41 AM,7:54:48 PM,12:10:39 AM,9:16:50 PM,12:00:01 AM,12:00:01 AM,2022-07-12
193,2:21:54 AM,7:05:49 PM,10:43:52 AM,16:43:55,1:34:13 AM,7:53:30 PM,12:13:25 AM,9:14:18 PM,12:00:01 AM,12:00:01 AM,2022-07-13
194,2:23:11 AM,7:04:46 PM,10:43:58 AM,16:41:35,1:35:48 AM,7:52:09 PM,12:16:13 AM,9:11:44 PM,12:00:01 AM,12:00:01 AM,2022-07-14
195,2:24:30 AM,7:03:39 PM,10:44:05 AM,16:39:09,1:37:25 AM,7:50:45 PM,12:19:02 AM,9:09:07 PM,12:00:01 AM,12:00:01 AM,2022-07-15
196,2:25:51 AM,7:02:30 PM,10:44:10 AM,16:36:39,1:39:03 AM,7:49:17 PM,12:21:52 AM,9:06:29 PM,12:00:01 AM,12:00:01 AM,2022-07-16
197,2:27:14 AM,7:01:18 PM,10:44:16 AM,16:34:04,1:40:44 AM,7:47:47 PM,12:24:43 AM,9:03:49 PM,12:00:01 AM,12:00:01 AM,2022-07-17
198,2:28:38 AM,7:00:03 PM,10:44:20 AM,16:31:25,1:42:27 AM,7:46:14 PM,12:27:34 AM,9:01:07 PM,12:00:01 AM,12:00:01 AM,2022-07-18
199,2:30:04 AM,6:58:45 PM,10:44:25 AM,16:28:41,1:44:12 AM,7:44:37 PM,12:30:25 AM,8:58:24 PM,12:00:01 AM,12:00:01 AM,2022-07-19
200,2:31:32 AM,6:57:25 PM,10:44:28 AM,16:25:53,1:45:58 AM,7:42:59 PM,12:33:17 AM,8:55:39 PM,12:00:01 AM,12:00:01 AM,2022-07-20
201,2:33:01 AM,6:56:02 PM,10:44:31 AM,16:23:01,1:47:46 AM,7:41:17 PM,12:36:09 AM,8:52:54 PM,12:00:01 AM,12:00:01 AM,2022-07-21
202,2:34:31 AM,6:54:36 PM,10:44:34 AM,16:20:05,1:49:35 AM,7:39:33 PM,12:39:00 AM,8:50:07 PM,12:00:01 AM,12:00:01 AM,2022-07-22
203,2:36:03 AM,6:53:08 PM,10:44:36 AM,16:17:05,1:51:25 AM,7:37:46 PM,12:41:52 AM,8:47:20 PM,12:00:01 AM,12:00:01 AM,2022-07-23
204,2:37:36 AM,6:51:38 PM,10:44:37 AM,16:14:02,1:53:17 AM,7:35:57 PM,12:44:43 AM,8:44:31 PM,12:00:01 AM,12:00:01 AM,2022-07-24
205,2:39:11 AM,6:50:05 PM,10:44:38 AM,16:10:54,1:55:10 AM,7:34:06 PM,12:47:33 AM,8:41:42 PM,12:00:01 AM,12:00:01 AM,2022-07-25
206,2:40:46 AM,6:48:30 PM,10:44:38 AM,16:07:44,1:57:04 AM,7:32:12 PM,12:50:24 AM,8:38:52 PM,12:00:01 AM,12:00:01 AM,2022-07-26
207,2:42:23 AM,6:46:52 PM,10:44:37 AM,16:04:29,1:58:59 AM,7:30:16 PM,12:53:13 AM,8:36:02 PM,12:00:01 AM,12:00:01 AM,2022-07-27
208,2:44:00 AM,6:45:13 PM,10:44:36 AM,16:01:13,2:00:54 AM,7:28:18 PM,12:56:02 AM,8:33:10 PM,12:00:01 AM,12:00:01 AM,2022-07-28
209,2:45:38 AM,6:43:31 PM,10:44:35 AM,15:57:53,2:02:51 AM,7:26:19 PM,12:58:51 AM,8:30:19 PM,12:00:01 AM,12:00:01 AM,2022-07-29
210,2:47:17 AM,6:41:48 PM,10:44:33 AM,15:54:31,2:04:48 AM,7:24:17 PM,1:01:38 AM,8:27:27 PM,12:00:01 AM,12:00:01 AM,2022-07-30
211,2:48:57 AM,6:40:02 PM,10:44:30 AM,15:51:05,2:06:46 AM,7:22:14 PM,1:04:25 AM,8:24:34 PM,10:52:09 PM,10:36:50 PM,2022-07-31
212,2:50:38 AM,6:38:14 PM,10:44:26 AM,15:47:36,2:08:44 AM,7:20:08 PM,1:07:11 AM,8:21:41 PM,11:13:20 PM,10:15:32 PM,2022-08-01
213,2:52:19 AM,6:36:25 PM,10:44:22 AM,15:44:06,2:10:43 AM,7:18:01 PM,1:09:56 AM,8:18:48 PM,11:24:41 PM,10:04:03 PM,2022-08-02
214,2:54:01 AM,6:34:33 PM,10:44:17 AM,15:40:32,2:12:42 AM,7:15:53 PM,1:12:40 AM,8:15:54 PM,11:33:35 PM,9:55:00 PM,2022-08-03
215,2:55:44 AM,6:32:40 PM,10:44:12 AM,15:36:56,2:14:41 AM,7:13:43 PM,1:15:23 AM,8:13:01 PM,11:41:11 PM,9:47:14 PM,2022-08-04
216,2:57:27 AM,6:30:46 PM,10:44:06 AM,15:33:19,2:16:41 AM,7:11:31 PM,1:18:06 AM,8:10:07 PM,11:47:57 PM,9:40:16 PM,2022-08-05
217,2:59:10 AM,6:28:49 PM,10:44:00 AM,15:29:39,2:18:41 AM,7:09:18 PM,1:20:47 AM,8:07:13 PM,11:54:07 PM,9:33:52 PM,2022-08-06
218,3:00:54 AM,6:26:51 PM,10:43:53 AM,15:25:57,2:20:41 AM,7:07:04 PM,1:23:27 AM,8:04:18 PM,11:59:51 PM,9:27:54 PM,2022-08-07
219,3:02:39 AM,6:24:51 PM,10:43:45 AM,15:22:12,2:22:41 AM,7:04:49 PM,1:26:06 AM,8:01:24 PM,12:05:14 AM,9:22:16 PM,2022-08-08
220,3:04:23 AM,6:22:50 PM,10:43:37 AM,15:18:27,2:24:42 AM,7:02:32 PM,1:28:44 AM,7:58:30 PM,12:10:19 AM,9:16:55 PM,2022-08-09
221,3:06:08 AM,6:20:47 PM,10:43:28 AM,15:14:39,2:26:42 AM,7:00:14 PM,1:31:21 AM,7:55:35 PM,12:15:09 AM,9:11:47 PM,2022-08-10
222,3:07:54 AM,6:18:43 PM,10:43:18 AM,15:10:49,2:28:42 AM,6:57:55 PM,1:33:56 AM,7:52:41 PM,12:19:47 AM,9:06:50 PM,2022-08-11
223,3:09:39 AM,6:16:38 PM,10:43:08 AM,15:06:59,2:30:42 AM,6:55:35 PM,1:36:31 AM,7:49:46 PM,12:24:13 AM,9:02:03 PM,2022-08-12
224,3:11:25 AM,6:14:31 PM,10:42:58 AM,15:03:06,2:32:42 AM,6:53:13 PM,1:39:04 AM,7:46:52 PM,12:28:31 AM,8:57:25 PM,2022-08-13
225,3:13:11 AM,6:12:23 PM,10:42:47 AM,14:59:12,2:34:42 AM,6:50:51 PM,1:41:36 AM,7:43:57 PM,12:32:39 AM,8:52:54 PM,2022-08-14
226,3:14:57 AM,6:10:14 PM,10:42:35 AM,14:55:17,2:36:42 AM,6:48:28 PM,1:44:07 AM,7:41:03 PM,12:36:40 AM,8:48:30 PM,2022-08-15
227,3:16:43 AM,6:08:03 PM,10:42:23 AM,14:51:20,2:38:42 AM,6:46:04 PM,1:46:37 AM,7:38:09 PM,12:40:34 AM,8:44:12 PM,2022-08-16
228,3:18:29 AM,6:05:52 PM,10:42:10 AM,14:47:23,2:40:41 AM,6:43:39 PM,1:49:06 AM,7:35:14 PM,12:44:21 AM,8:40:00 PM,2022-08-17
229,3:20:15 AM,6:03:39 PM,10:41:57 AM,14:43:24,2:42:40 AM,6:41:14 PM,1:51:34 AM,7:32:20 PM,12:48:02 AM,8:35:52 PM,2022-08-18
230,3:22:02 AM,6:01:25 PM,10:41:43 AM,14:39:23,2:44:39 AM,6:38:48 PM,1:54:00 AM,7:29:27 PM,12:51:38 AM,8:31:49 PM,2022-08-19
231,3:23:48 AM,5:59:11 PM,10:41:29 AM,14:35:23,2:46:38 AM,6:36:21 PM,1:56:26 AM,7:26:33 PM,12:55:09 AM,8:27:49 PM,2022-08-20
232,3:25:34 AM,5:56:55 PM,10:41:15 AM,14:31:21,2:48:36 AM,6:33:53 PM,1:58:50 AM,7:23:39 PM,12:58:35 AM,8:23:54 PM,2022-08-21
233,3:27:21 AM,5:54:38 PM,10:41:00 AM,14:27:17,2:50:34 AM,6:31:25 PM,2:01:13 AM,7:20:46 PM,1:01:57 AM,8:20:02 PM,2022-08-22
234,3:29:07 AM,5:52:21 PM,10:40:44 AM,14:23:14,2:52:32 AM,6:28:56 PM,2:03:35 AM,7:17:53 PM,1:05:14 AM,8:16:14 PM,2022-08-23
235,3:30:54 AM,5:50:02 PM,10:40:28 AM,14:19:08,2:54:29 AM,6:26:27 PM,2:05:56 AM,7:15:00 PM,1:08:28 AM,8:12:28 PM,2022-08-24
236,3:32:40 AM,5:47:43 PM,10:40:12 AM,14:15:03,2:56:26 AM,6:23:57 PM,2:08:15 AM,7:12:08 PM,1:11:37 AM,8:08:46 PM,2022-08-25
237,3:34:26 AM,5:45:23 PM,10:39:55 AM,14:10:57,2:58:23 AM,6:21:27 PM,2:10:34 AM,7:09:15 PM,1:14:44 AM,8:05:06 PM,2022-08-26
238,3:36:13 AM,5:43:02 PM,10:39:38 AM,14:06:49,3:00:19 AM,6:18:56 PM,2:12:52 AM,7:06:24 PM,1:17:46 AM,8:01:29 PM,2022-08-27
239,3:37:59 AM,5:40:41 PM,10:39:20 AM,14:02:42,3:02:15 AM,6:16:25 PM,2:15:08 AM,7:03:32 PM,1:20:46 AM,7:57:54 PM,2022-08-28
240,3:39:45 AM,5:38:19 PM,10:39:02 AM,13:58:34,3:04:11 AM,6:13:53 PM,2:17:24 AM,7:00:41 PM,1:23:42 AM,7:54:22 PM,2022-08-29
